order_id,order_volume,warehouse_processing_time,shipment_distance_km,traffic_level,weather_severity,historical_delay_rate,delivery_status
1,350,6,159.7,3,2,0.1,At Risk
2,153,3,140.95,2,0,0.06,On-Time
3,392,11,209.45,3,3,0.35,Delayed
4,358,10,235.5,2,2,0.22,Delayed
5,244,4,160.78,1,0,0.14,On-Time
6,257,12,247.78,2,2,0.35,Delayed
7,308,8,222.49,2,1,0.26,Delayed
8,68,3,120.02,2,1,0.07,On-Time
9,205,9,226.23,1,1,0.19,Delayed
10,250,5,177.55,2,0,0.12,At Risk
11,109,3,201.64,2,0,0.1,On-Time
12,59,7,148.82,1,1,0.12,On-Time
13,145,4,148.44,1,0,0.1,On-Time
14,380,6,198.36,2,0,0.21,At Risk
15,278,8,220.09,1,0,0.14,At Risk
16,381,11,246.53,3,2,0.21,Delayed
17,484,9,250.24,2,3,0.29,Delayed
18,362,6,71.23,2,2,0.19,At Risk
19,396,9,91.16,3,2,0.27,Delayed
20,467,9,126.84,3,1,0.27,Delayed
21,157,3,271.21,1,1,0.13,On-Time
22,168,5,181.66,2,0,0.09,On-Time
23,251,9,101.62,2,0,0.14,At Risk
24,365,11,55.54,2,3,0.32,Delayed
25,199,4,149.56,2,1,0.09,On-Time
26,263,9,187.54,2,0,0.25,Delayed
27,295,4,254.14,2,0,0.2,Delayed
28,321,11,239.88,3,1,0.19,Delayed
29,318,11,131.55,3,3,0.33,Delayed
30,280,12,269.33,2,3,0.32,Delayed
31,255,5,249.8,1,1,0.25,At Risk
32,361,10,165.83,2,2,0.21,Delayed
33,285,10,174.42,3,3,0.34,Delayed
34,83,5,185.75,1,1,0.13,Delayed
35,384,7,102.65,2,1,0.12,At Risk
36,377,8,116.2,3,0,0.23,At Risk
37,342,10,234.0,2,2,0.25,Delayed
38,443,7,170.12,3,2,0.31,Delayed
39,116,2,187.03,2,1,0.13,On-Time
40,176,5,159.84,1,1,0.14,On-Time
41,403,8,41.39,3,2,0.28,Delayed
42,323,10,176.6,2,1,0.28,Delayed
43,176,7,129.9,3,2,0.13,At Risk
44,219,2,54.89,1,1,0.08,On-Time
45,387,6,117.08,2,3,0.18,Delayed
46,357,6,209.15,2,2,0.33,Delayed
47,324,7,14.18,1,0,0.21,At Risk
48,211,6,177.61,2,2,0.15,At Risk
49,200,7,76.43,2,1,0.1,On-Time
50,229,6,224.84,2,1,0.07,On-Time
51,200,7,76.43,2,1,0.1,On-Time
52,329,5,150.25,2,0,0.15,At Risk
53,120,3,27.07,2,1,0.07,On-Time
54,166,2,115.68,2,0,0.14,On-Time
55,389,9,178.24,2,1,0.3,Delayed
56,267,8,16.76,3,0,0.16,At Risk
57,253,9,138.8,3,2,0.18,Delayed
58,467,9,126.84,3,1,0.27,Delayed
59,215,7,93.8,1,0,0.24,At Risk
60,113,7,207.63,1,1,0.07,On-Time
61,250,5,154.92,1,0,0.16,At Risk
62,68,3,120.02,2,1,0.07,On-Time
63,306,11,138.67,2,3,0.27,Delayed
64,198,4,68.91,3,2,0.23,At Risk
65,303,4,112.73,2,1,0.1,At Risk
66,321,11,253.96,2,3,0.33,Delayed
67,140,4,102.95,2,1,0.14,At Risk
68,227,7,88.24,2,0,0.07,On-Time
69,394,5,190.66,3,1,0.17,At Risk
70,167,4,141.12,1,0,0.14,On-Time
71,150,3,82.88,1,0,0.12,On-Time
72,256,12,124.47,2,3,0.3,Delayed
73,257,9,227.12,2,0,0.17,At Risk
74,142,3,94.92,2,1,0.11,On-Time
75,232,7,185.83,1,0,0.1,On-Time
76,356,8,169.67,1,0,0.13,At Risk
77,477,8,129.66,2,1,0.22,Delayed
78,280,12,269.33,2,3,0.32,Delayed
79,473,10,113.48,3,3,0.34,Delayed
80,193,4,69.44,2,0,0.09,On-Time
81,342,12,240.23,2,2,0.19,Delayed
82,385,12,238.87,3,3,0.3,Delayed
83,294,10,96.04,3,1,0.32,Delayed
84,156,6,254.2,1,1,0.14,On-Time
85,434,9,152.01,2,1,0.29,Delayed
86,203,4,176.4,3,1,0.18,At Risk
87,264,6,149.96,2,0,0.16,At Risk
88,357,7,168.32,2,0,0.25,At Risk
89,362,6,71.23,2,2,0.19,At Risk
90,321,11,253.96,2,3,0.33,Delayed
91,418,9,153.55,2,2,0.28,Delayed
92,168,7,89.3,2,0,0.16,At Risk
93,229,5,205.73,3,0,0.17,At Risk
94,354,7,187.79,3,2,0.28,Delayed
95,70,7,222.2,1,1,0.08,On-Time
96,211,5,203.68,1,1,0.25,At Risk
97,265,5,215.89,3,0,0.12,At Risk
98,209,6,150.41,1,0,0.1,On-Time
99,276,6,242.69,2,2,0.13,Delayed
100,191,6,70.66,1,0,0.08,On-Time
101,218,2,73.8,1,1,0.06,On-Time
102,206,5,207.36,1,0,0.15,On-Time
103,333,10,138.96,3,3,0.23,Delayed
104,200,7,76.43,2,1,0.1,On-Time
105,215,3,208.23,1,1,0.07,On-Time
106,416,8,187.45,2,1,0.26,Delayed
107,235,5,79.36,1,1,0.12,On-Time
108,482,12,120.69,2,3,0.31,Delayed
109,358,10,235.5,2,2,0.22,Delayed
110,294,6,248.95,2,2,0.21,At Risk
111,375,11,106.48,3,3,0.31,Delayed
112,457,10,154.52,2,3,0.19,Delayed
113,311,6,255.75,1,0,0.23,At Risk
114,442,8,82.93,2,1,0.27,Delayed
115,390,7,119.66,2,1,0.2,Delayed
116,383,7,112.1,3,1,0.28,Delayed
117,187,6,205.93,1,0,0.07,On-Time
118,164,6,138.78,2,2,0.22,At Risk
119,468,6,86.2,2,2,0.3,Delayed
120,319,5,163.78,2,1,0.19,At Risk
121,340,5,205.69,2,1,0.12,At Risk
122,335,6,200.39,3,1,0.2,Delayed
